service,year,month,url
fhv,2020,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-01.parquet
fhv,2020,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-02.parquet
fhv,2020,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-03.parquet
fhv,2020,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-04.parquet
fhv,2020,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-05.parquet
fhv,2020,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-06.parquet
fhv,2020,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-07.parquet
fhv,2020,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-08.parquet
fhv,2020,9,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-09.parquet
fhv,2020,10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-10.parquet
fhv,2020,11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-11.parquet
fhv,2020,12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2020-12.parquet
fhv,2021,1,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-01.parquet
fhv,2021,2,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-02.parquet
fhv,2021,3,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-03.parquet
fhv,2021,4,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-04.parquet
fhv,2021,5,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-05.parquet
fhv,2021,6,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-06.parquet
fhv,2021,7,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-07.parquet
fhv,2021,8,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2021-08.parquet
